"id_player","id_team","player_name","nationality","field_position","age","team_country","team","assists","corners_taken","offsides","dribbles","total_attempts","attempts_on_target","attempts_off_target","blocked","balls_recovered","tackles","tackles_won","tackles_lost","clearance_attempted","X","fouls_committed","fouls_suffered","yellow_cards","red_cards","passing_accuracy...","passes_attempted","passes_completed","crossing_accuracy...","crosses_attempted","crosses_completed","free_kick_taken","goals","inside_area","outside_area","right_foot","left_foot","head","other","penalties_scored","distance_covered.km.h.","top_speed","minutes_played","matches_appareance"
250198122,2602798,"Jastin García","Spain","Forward",20,"Spain","Girona FC",0,0,0,2,0,0,0,0,2,0,0,0,0,607,0,1,0,0,50,6,3,0,0,0,0,0,0,0,0,0,0,0,0,1.66,27.85,12,1
250198240,50023,"Lamine Camara","Senegal","Midfielder",20,"France","AS Monaco",0,5,0,0,4,0,3,1,18,7,3,4,6,8,8,11,2,0,82.75,149,125,44.45,9,4,10,0,0,0,0,0,0,0,0,32.83,33.54,272,4
250198274,52797,"Idjessi Metsoko","France","Forward",22,"Slovakia","ŠK Slovan Bratislava",0,0,0,1,0,0,0,0,0,1,1,0,0,463,1,1,0,0,52.67,10,8,0,0,0,0,0,0,0,0,0,0,0,0,5.36,33.36,29,3
250198501,50107,"Anrie Chase","Japan","Defender",20,"Germany","VfB Stuttgart",0,0,0,0,1,0,0,1,8,1,1,0,2,470,1,0,1,0,68,71,63,0,0,0,1,0,0,0,0,0,0,0,0,17.73,33.48,137,4
250199902,2602798,"Selvi Clua","Spain","Midfielder",19,"Spain","Girona FC",0,1,0,1,0,0,0,0,3,1,0,1,2,371,2,0,0,0,86,29,25,100,1,1,2,0,0,0,0,0,0,0,0,10.31,30.69,79,1
250199913,2602798,"Min-su Kim","Korea Republic","Forward",18,"Spain","Girona FC",0,0,0,1,0,0,0,0,0,0,0,0,1,520,1,0,0,0,100,3,3,0,1,0,1,0,0,0,0,0,0,0,0,1.97,28.39,12,1
250200228,50111,"Malick Yalcouye","Mali","Midfielder",18,"Austria","SK Sturm Graz",0,0,0,12,5,0,2,3,11,6,1,5,1,15,7,9,2,0,86.25,137,119,0,2,0,2,0,0,0,0,0,0,0,0,42.82,32.65,307,4
250200231,50149,"Maximiliano Araújo","Uruguay","Midfielder",24,"Portugal","Sporting Clube de Portugal",1,2,0,6,1,1,0,0,8,0,0,0,2,230,3,1,1,0,73,51,39,33.34,6,2,0,1,1,0,0,1,0,0,0,20.45,32.94,173,4
250200298,2601306,"Kamory Doumbia","Mali","Midfielder",21,"France","Stade Brestois 29",0,6,0,4,5,3,0,2,5,2,1,1,0,362,2,0,0,0,73.75,50,42,0,6,0,0,0,0,0,0,0,0,0,0,17.78,29.01,123,4
250200307,50050,"Luke McCowan","Scotland","Midfielder",26,"Scotland","Celtic FC",0,0,0,0,0,0,0,0,0,0,0,0,1,687,0,0,0,0,50,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2.45,28.44,15,1
250200308,50050,"Auston Trusty","USA","Defender",26,"Scotland","Celtic FC",0,0,0,0,1,0,0,1,20,2,1,1,19,309,2,2,0,0,97.5,200,194,0,0,0,4,0,0,0,0,0,0,0,0,32.21,33.21,276,4
250200313,52749,"Jordan Lotomba","Switzerland","Defender",26,"Netherlands","Feyenoord",0,0,0,8,2,0,1,1,8,1,0,1,1,198,3,3,0,0,92.5,104,97,0,1,0,3,0,0,0,0,0,0,0,0,28.72,32.51,263,4
